Wall time,Step,Value
1585064303,74160,0.070784375
1585064343,74460,0.070689648
1585064404,74893,0.070796348
1585064444,75193,0.070424818
1585064478,75426,0.070849799
1585064505,75626,0.07007508
1585064566,76059,0.071019933
1585064620,76459,0.070351258
1585064667,76792,0.070099711
1585064680,76892,0.070807599
1585064694,76992,0.070669241
1585064707,77092,0.070543937
1585064794,77725,0.070251934
1585064880,78358,0.070210382
1585064914,78591,0.069893956
1585064927,78691,0.070142262
1585064981,79091,0.07011196
1585065027,79424,0.069447055
1585065041,79524,0.069243535
1585065088,79857,0.069448188
1585065101,79957,0.069857627
1585065115,80057,0.070159689
1585065141,80257,0.069199868
1585065175,80490,0.069146298
1585065302,81423,0.070084833
1585065316,81523,0.069674596
1585065363,81856,0.069779426
1585065376,81956,0.069415309
1585065390,82056,0.069265187
1585065416,82256,0.0689805
1585065437,82389,0.069144227
1585065524,83022,0.069866396
1585065577,83422,0.068855196
1585065591,83522,0.068390958
1585065625,83755,0.068567276
1585065651,83955,0.068908565
1585065698,84288,0.069001347
1585065711,84388,0.069070242
1585065725,84488,0.068745807
1585065738,84588,0.068522871
1585065785,84921,0.067877412
1585065838,85321,0.068657868
1585065885,85654,0.068620138
1585065912,85854,0.068909779
1585065925,85954,0.068439126
1585065938,86054,0.068916596
1585066026,86687,0.069065437
1585066046,86820,0.068968482
1585066073,87020,0.068415768
1585066113,87320,0.068368807
1585066173,87753,0.068002388
1585066220,88086,0.068051741
1585066261,88386,0.068102263
1585066274,88486,0.068099819
1585066334,88919,0.067901783
1585066361,89119,0.067932695
1585066434,89652,0.06795153
1585066481,89985,0.067713402
1585066782,92184,0.066896237
1585066809,92384,0.06742584
1585066829,92517,0.067715295
1585066883,92917,0.067490011
1585066917,93150,0.067158975
1585066970,93550,0.067635037
1585067004,93783,0.067068435
1585067031,93983,0.06760595
1585067071,94283,0.066601798
1585067119,94616,0.06717632
1585067206,95249,0.066995949
1585067266,95682,0.06680353
1585067366,96415,0.066294298
1585067379,96515,0.067185514
1585067393,96615,0.067080028
1585067406,96715,0.066700861
1585067479,97248,0.066621669
1585067506,97448,0.066708148
1585067552,97781,0.067059852
1585067566,97881,0.06636285
1585067579,97981,0.066141233
1585067592,98081,0.066779457
1585067713,98947,0.066610239
1585067726,99047,0.066143632
1585067765,99347,0.06627205
1585067872,100113,0.065770537
1585067912,100413,0.066169478
1585068046,101379,0.065986022
1585068073,101579,0.065565161
1585068086,101679,0.066264994
1585068099,101779,0.065869756
1585068146,102112,0.065496497
1585068160,102212,0.06583225
1585068219,102645,0.066003062
1585068286,103145,0.066098973
1585068307,103278,0.06575419
1585068361,103678,0.065950871
1585068374,103778,0.065669894
1585068394,103911,0.066196434
1585068407,104011,0.065376654
1585068447,104311,0.065339759
1585068461,104411,0.064794116
1585068481,104544,0.065285727
1585068521,104844,0.065589681
1585068534,104944,0.064874284
1585068653,105810,0.065339126
1585068706,106210,0.065317012
1585068739,106443,0.065095626
1585068766,106643,0.065362334
1585068779,106743,0.065270744
1585068825,107076,0.06501168
1585068879,107476,0.065287903
1585068892,107576,0.065264575
1585068913,107709,0.064893052
1585068953,108009,0.065277539
1585069067,108842,0.065568671
1585069101,109075,0.065345615
1585069154,109475,0.064935036
1585069175,109608,0.065220192
1585069215,109908,0.064861894
1585069241,110108,0.064273693
1585069275,110341,0.06432423
1585069349,110874,0.064761288
1585069501,112007,0.064642191
1585069535,112240,0.064484388
1585069621,112873,0.064214833
1585069634,112973,0.064255893
1585069661,113173,0.064512283
1585069694,113406,0.064332142
1585069747,113806,0.064835057
1585069807,114239,0.063955195
1585069833,114439,0.06499283
1585069906,114972,0.063875385
1585069919,115072,0.064324506
1585069933,115172,0.064517453
1585070052,116038,0.06432765
1585070140,116671,0.064015321
1585070193,117071,0.063961469
1585070213,117204,0.064025007
1585070227,117304,0.063928746
1585070353,118237,0.064220011
1585070386,118470,0.063806899
1585070427,118770,0.063849814
1585070513,119403,0.063598745
1585070527,119503,0.064133897
1585070627,120236,0.063947335
1585070660,120469,0.06379389
1585070860,121935,0.064363398
1585070947,122568,0.06377539
1585070960,122668,0.064760678
1585070974,122768,0.063735448
1585071020,123101,0.063975915
1585071034,123201,0.064224683
1585071047,123301,0.064516008
1585071307,125200,0.064545922
1585071354,125533,0.064302169
1585071381,125733,0.063841335
1585071480,126466,0.064058296
1585071494,126566,0.064318508
1585071555,126999,0.063794851
1585071581,127199,0.06379173
1585071615,127432,0.063412935
1585071689,127965,0.063746676
1585071716,128165,0.064481102
1585071743,128365,0.064284101
1585071803,128798,0.064230971
1585071951,129864,0.063743733
1585072004,130264,0.064413726
1585072065,130697,0.064189158
1585072078,130797,0.063571386
1585072091,130897,0.063586958
1585072124,131130,0.064310141
1585072165,131430,0.064339131
1585072212,131763,0.063840732
1585072239,131963,0.063810945
1585072279,132263,0.063916773
1585072365,132896,0.063866042
1585072398,133129,0.064421706
1585072425,133329,0.064219803
1585072439,133429,0.063602529
1585072486,133762,0.06379623
1585072512,133962,0.063573807
1585072559,134295,0.063775793
1585072673,135128,0.063749306
1585072773,135861,0.063236505
1585072861,136494,0.063094646
1585072921,136927,0.063492574
1585072934,137027,0.063645743
1585072947,137127,0.063779309
1585072961,137227,0.063155428
1585073048,137860,0.06352184
1585073095,138193,0.063073814
1585073196,138926,0.062820867
1585073223,139126,0.062763035
1585073271,139459,0.0636006
1585073284,139559,0.062557213
1585073324,139859,0.063198961
1585073412,140492,0.062638327
1585073445,140725,0.062612683
1585073485,141025,0.062795296
1585073532,141358,0.062309589
1585073545,141458,0.062682405
1585073559,141558,0.062450148
1585073572,141658,0.062488377
1585073585,141758,0.062248915
1585073673,142391,0.062998623
1585073848,143657,0.061971486
1585073936,144290,0.062005337
